id,searchable_name,location_label,map_location,category,convention_id
18111,"ICC : Rm 136 : IV Studio, Events ",ICC : Rm 136,/map?c=27&f=1&lg=22.453125000000284&lt=-5.6407681072114615&s=18111&z=5,Events,27
18112,"ICC : Rm 135 : Leder Games, Events",ICC : Rm 135,/map?c=27&f=1&lg=19.819335937500004&lt=-5.6407681072114615&s=18112&z=5,Events,27
18113,"ICC : Sagamore Ballroom 3 - 5 : Paizo, Events",ICC : Sagamore Ballroom 3-5,/map?c=27&f=2&lg=14.765625000000002&lt=-36.35052700542764&s=18113&z=5,Events,27
18114,"ICC : Rm 134 : Darrington Press, Events",ICC : Rm 134,/map?c=27&f=1&lg=17.226562500000004&lt=-5.903102955341075&s=18114&z=5,Events,27
18115,"ICC : Rm 131 - 132 : Monte Cook, Events ",ICC : Rm 131 - 132,/map?c=27&f=1&lg=10.621582031249993&lt=-6.577303118123875&s=18115&z=5,Events,27
18116,"ICC : Rm 123 : Avantris, Events",ICC : Rm 123,/map?c=27&f=1&lg=75.67382812500001&lt=-40.14808859840888&s=18116&z=5,Events,27
18117,"ICC : Rm 128 : RPG, Events",ICC : Rm 128,/map?c=27&f=1&lg=93.603515625&lt=-40.04443758460857&s=18117&z=5,Events,27
18522,"Field : Able Kompanie, Events",Field : Able Kompanie,/map?c=27&f=0&lg=24.6280078125&lt=73.61026426806401&s=18522&z=5,Events,27
18523,"Field : Orange, Events",Field : Orange,/map?c=27&f=0&lg=27.77132812500001&lt=73.84170581737096&s=18523&z=5,Events,27
18524,"Field : Themeborne, Events",Field : Themeborne,/map?c=27&f=0&lg=21.47088867187502&lt=77.57570519673993&s=18524&z=5,Events,27
18525,"Field : Roll & Play Press, Events",Field : Roll & Play,/map?c=27&f=0&lg=21.14305664062502&lt=77.36766815100461&s=18525&z=5,Events,27
18526,"Field : White, Events",Field : White,/map?c=27&f=0&lg=20.20192382812501&lt=76.73414654396078&s=18526&z=5,Events,27
